iter	Passed	Remaining
0	29	29117
1	48	24044
2	59	19682
3	70	17458
4	81	16121
5	91	15228
6	102	14550
7	113	14036
8	123	13628
9	134	13305
10	145	13038
11	155	12810
12	165	12599
13	176	12422
14	187	12316
15	201	12410
16	212	12304
17	223	12204
18	234	12118
19	245	12020
20	256	11937
21	266	11844
22	276	11764
23	287	11687
24	297	11613
25	308	11545
26	318	11486
27	329	11428
28	339	11375
29	350	11329
30	360	11279
31	371	11232
32	381	11187
33	392	11142
34	402	11099
35	413	11061
36	423	11019
37	433	10982
38	444	10947
39	454	10914
40	465	10878
41	475	10850
42	486	10820
43	496	10791
44	507	10760
45	517	10734
46	528	10709
47	538	10684
48	549	10657
49	559	10630
50	569	10606
51	580	10581
52	590	10557
53	601	10538
54	611	10512
55	622	10489
56	632	10468
57	643	10446
58	653	10423
59	663	10400
60	674	10381
61	684	10362
62	695	10342
63	705	10322
64	716	10303
65	726	10283
66	737	10263
67	747	10248
68	758	10230
69	768	10212
70	779	10194
71	789	10177
72	800	10159
73	810	10141
74	820	10123
75	831	10107
76	841	10090
77	852	10073
78	862	10058
79	873	10043
80	883	10026
81	894	10011
82	904	9995
83	915	9979
84	925	9965
85	937	9958
86	947	9945
87	958	9930
88	968	9917
89	979	9903
90	989	9888
91	1000	9872
92	1010	9858
93	1021	9845
94	1031	9829
95	1042	9814
96	1052	9800
97	1063	9786
98	1073	9772
99	1084	9758
100	1094	9742
101	1105	9728
102	1115	9714
103	1125	9700
104	1136	9686
105	1146	9671
106	1157	9657
107	1167	9643
108	1178	9629
109	1189	9621
110	1199	9610
111	1210	9596
112	1220	9582
113	1231	9573
114	1242	9560
115	1252	9545
116	1262	9531
117	1273	9517
118	1284	9506
119	1294	9494
120	1304	9479
121	1315	9466
122	1325	9452
123	1336	9441
124	1349	9447
125	1360	9434
126	1370	9423
127	1381	9411
128	1392	9399
129	1402	9388
130	1413	9374
131	1423	9361
132	1434	9348
133	1444	9336
134	1455	9322
135	1465	9310
136	1476	9297
137	1486	9285
138	1497	9273
139	1507	9260
140	1517	9247
141	1528	9236
142	1538	9223
143	1549	9209
144	1560	9200
145	1570	9188
146	1581	9175
147	1591	9163
148	1602	9150
149	1612	9137
150	1622	9125
151	1633	9112
152	1644	9101
153	1654	9089
154	1665	9077
155	1675	9065
156	1686	9054
157	1696	9043
158	1707	9031
159	1717	9018
160	1728	9006
161	1738	8994
162	1749	8982
163	1759	8970
164	1770	8959
165	1780	8947
166	1791	8935
167	1801	8923
168	1812	8911
169	1822	8899
170	1835	8896
171	1845	8885
172	1856	8874
173	1866	8862
174	1877	8850
175	1887	8838
176	1898	8826
177	1909	8816
178	1919	8804
179	1929	8792
180	1941	8784
181	1951	8773
182	1962	8763
183	1973	8752
184	1984	8740
185	1995	8730
186	2005	8719
187	2016	8707
188	2026	8695
189	2036	8683
190	2047	8672
191	2058	8660
192	2068	8649
193	2078	8637
194	2089	8625
195	2099	8614
196	2110	8602
197	2120	8590
198	2131	8578
199	2141	8567
200	2152	8555
201	2162	8544
202	2173	8532
203	2183	8520
204	2194	8509
205	2204	8498
206	2215	8487
207	2227	8481
208	2237	8469
209	2248	8458
210	2258	8446
211	2269	8435
212	2279	8423
213	2290	8411
214	2300	8400
215	2311	8388
216	2321	8377
217	2332	8365
218	2342	8354
219	2353	8343
220	2363	8331
221	2374	8320
222	2384	8309
223	2395	8298
224	2406	8287
225	2416	8276
226	2426	8264
227	2437	8253
228	2448	8242
229	2458	8231
230	2469	8219
231	2479	8209
232	2490	8198
233	2500	8186
234	2511	8175
235	2521	8163
236	2532	8152
237	2542	8140
238	2553	8129
239	2563	8118
240	2574	8107
241	2584	8096
242	2595	8085
243	2606	8074
244	2616	8063
245	2627	8052
246	2637	8041
247	2648	8030
248	2658	8019
249	2669	8008
250	2679	7996
251	2690	7985
252	2700	7974
253	2711	7963
254	2722	7953
255	2732	7942
256	2743	7930
257	2753	7919
258	2764	7908
259	2774	7897
260	2785	7886
261	2795	7875
262	2806	7865
263	2817	7854
264	2827	7843
265	2838	7832
266	2848	7821
267	2859	7810
268	2869	7799
269	2880	7787
270	2890	7776
271	2901	7765
272	2911	7753
273	2922	7742
274	2932	7731
275	2943	7720
276	2955	7714
277	2966	7704
278	2977	7693
279	2987	7683
280	2998	7672
281	3008	7661
282	3019	7649
283	3030	7639
284	3040	7628
285	3051	7617
286	3061	7606
287	3072	7596
288	3083	7585
289	3093	7573
290	3104	7562
291	3114	7551
292	3124	7540
293	3135	7529
294	3146	7518
295	3156	7507
296	3167	7496
297	3177	7485
298	3188	7474
299	3198	7463
300	3209	7453
301	3220	7443
302	3230	7432
303	3241	7421
304	3251	7410
305	3262	7399
306	3273	7388
307	3283	7377
308	3294	7367
309	3304	7356
310	3315	7344
311	3326	7334
312	3336	7323
313	3347	7312
314	3357	7301
315	3368	7290
316	3378	7279
317	3389	7268
318	3399	7257
319	3410	7246
320	3420	7235
321	3431	7224
322	3441	7213
323	3452	7203
324	3462	7192
325	3473	7181
326	3484	7170
327	3494	7159
328	3505	7148
329	3515	7138
330	3526	7127
331	3536	7116
332	3547	7105
333	3557	7094
334	3568	7084
335	3579	7072
336	3589	7062
337	3600	7051
338	3610	7040
339	3621	7029
340	3631	7018
341	3642	7007
342	3652	6996
343	3663	6985
344	3673	6974
345	3684	6964
346	3694	6953
347	3705	6942
348	3715	6931
349	3726	6920
350	3736	6909
351	3747	6898
352	3757	6887
353	3768	6876
354	3778	6865
355	3789	6854
356	3799	6843
357	3810	6832
358	3820	6821
359	3830	6810
360	3841	6799
361	3851	6788
362	3862	6777
363	3872	6766
364	3883	6756
365	3894	6745
366	3904	6734
367	3915	6724
368	3925	6713
369	3936	6702
370	3946	6691
371	3957	6680
372	3967	6669
373	3978	6659
374	3988	6648
375	3999	6637
376	4010	6627
377	4021	6616
378	4031	6605
379	4041	6594
380	4052	6584
381	4063	6573
382	4073	6562
383	4084	6551
384	4094	6540
385	4105	6529
386	4115	6519
387	4126	6508
388	4136	6497
389	4147	6486
390	4157	6475
391	4168	6464
392	4178	6453
393	4188	6442
394	4199	6432
395	4211	6423
